# Source File Hash: 487607d3dd57d73850986fc59621f7f0004644453c3996d6f800b818b2ad28c9
Node_ID,Type,X (m),Y (m),Z (m),Head (m),Pressure (MPa),Required Q (L/min)
N1,PUMP,0.0,0.0,10.0,29.1872,0.1882,0.0
N2,JUNCTION,50.0,0.0,10.0,28.7778,0.1841,0.0
N3,TERMINAL,100.0,20.0,10.0,25.3287,0.1503,120.0
N4,TERMINAL,100.0,-20.0,5.0,25.4383,0.2004,80.0
